Age (in months),3rd Percentile Head Circumference (in centimeters),5th Percentile Head Circumference (in centimeters),10th Percentile Head Circumference (in centimeters),25th Percentile Head Circumference (in centimeters),50th Percentile Head Circumference (in centimeters),75th Percentile Head Circumference (in centimeters),90th Percentile Head Circumference (in centimeters),95th Percentile Head Circumference (in centimeters),97th Percentile Head Circumference (in centimeters)
0,31.9302,32.2509,32.75949,33.65187,34.71156,35.85124,36.9535,37.65138,38.1211
0.5,33.38071,33.68744,34.17346,35.02508,36.03454,37.11807,38.16405,38.82535,39.27006
1.5,35.48627,35.7756,36.23326,37.03282,37.97672,38.98533,39.95459,40.56517,40.97482
2.5,36.9855,37.26522,37.70685,38.47603,39.38013,40.34145,41.26063,41.83732,42.22321
3.5,38.13114,38.40561,38.83814,39.58905,40.46774,41.39732,42.28153,42.83396,43.2026
4.5,39.04619,39.31814,39.74588,40.48611,41.34841,42.25604,43.11489,43.64924,44.00486
5.5,39.7996,40.07086,40.49672,41.23136,42.08335,42.97566,43.81575,44.3363,44.68183
6.5,40.43379,40.70567,41.13171,41.86435,42.71034,43.59207,44.41815,44.92803,45.26563
7.5,40.97672,41.25016,41.67787,42.41113,43.25429,44.12897,44.94461,45.44619,45.77751
8.5,41.44768,41.7234,42.15391,42.88978,43.7325,44.60282,45.41078,45.90591,46.23224
9.5,41.86058,42.13913,42.5733,43.31329,44.15743,45.0255,45.82799,46.31815,46.64053
10.5,42.22575,42.50755,42.94604,43.69135,44.53837,45.40587,46.20466,46.69106,47.01035
11.5,42.55105,42.83643,43.27977,44.03133,44.88241,45.75072,46.54726,47.0309,47.3478
12.5,42.8426,43.13182,43.58043,44.33899,45.19508,46.06532,46.86084,47.34255,47.65766
13.5,43.10526,43.39853,43.85274,44.61891,45.48078,46.3539,47.14942,47.62991,47.94373
14.5,43.34294,43.64042,44.1005,44.87476,45.74308,46.61986,47.41624,47.89613,48.20911
15.5,43.55883,43.86066,44.32682,45.10959,45.98487,46.86599,47.66399,48.1438,48.4563
16.5,43.75558,44.06186,44.53428,45.32587,46.20858,47.0946,47.89487,48.37505,48.68741
17.5,43.93539,44.2462,44.72501,45.5257,46.41622,47.30765,48.11074,48.5917,48.90419
18.5,44.10013,44.41553,44.90085,45.71086,46.6095,47.50676,48.31317,48.79526,49.10814
19.5,44.25137,44.57142,45.06333,45.88284,46.78989,47.69335,48.50351,48.98703,49.30052
20.5,44.39047,44.71521,45.21378,46.04295,46.95863,47.86861,48.6829,49.16814,49.48244
21.5,44.51861,44.84806,45.35334,46.19229,47.11681,48.0336,48.85236,49.33955,49.65484
22.5,44.6368,44.97099,45.48301,46.33184,47.26538,48.18923,49.01276,49.50211,49.81854
23.5,44.74593,45.08487,45.60367,46.46246,47.40516,48.33629,49.16486,49.65657,49.97429
24.5,44.84678,45.19047,45.71608,46.58489,47.53688,48.47548,49.30933,49.80358,50.12271
25.5,44.94005,45.2885,45.82092,46.6998,47.66118,48.60743,49.44677,49.94373,50.26437
26.5,45.02634,45.37954,45.91878,46.80778,47.77865,48.7327,49.57773,50.07751,50.39978
27.5,45.1062,45.46415,46.01021,46.90935,47.88979,48.85178,49.70266,50.20541,50.5294
28.5,45.18011,45.5428,46.09568,47.00499,47.99506,48.9651,49.822,50.32783,50.65362
29.5,45.24852,45.61594,46.17562,47.09511,48.09488,49.07308,49.93613,50.44514,50.77281
30.5,45.31181,45.68394,46.25043,47.18009,48.18961,49.17607,50.0454,50.55769,50.88731
31.5,45.37035,45.74718,46.32044,47.2603,48.2796,49.2744,50.15012,50.66578,50.99741
32.5,45.42444,45.80596,46.38599,47.33603,48.36515,49.36836,50.25058,50.76968,51.10338
33.5,45.4744,45.86058,46.44736,47.40757,48.44654,49.45823,50.34704,50.86965,51.20547
34.5,45.52047,45.9113,46.50481,47.47518,48.52402,49.54425,50.43974,50.96593,51.30392
35.5,45.56291,45.95837,46.55859,47.53911,48.59783,49.62665,50.52889,51.05872,51.39892
36,45.58284,45.98061,46.58417,47.56976,48.63342,49.66656,50.5722,51.10387,51.44519